InChI,Key,smiles,Formula,Weight,logP(o/w),b_rotN,vol,lip_violation,ASA_P,Natural,ChemicalName
"InChI=1S/C5H11O7P/c6-2-4-3(7)1-5(11-4)12-13(8,9)10/h3-7H,1-2H2,(H2,8,9,10)",KBDKAJNTYKVSEK-UHFFFAOYSA-N,P(OC1OC(CO)C(O)C1)(O)(O)=O,C8H9NO2,214.11,-2.2310,3,138.13,0,260.5556,0,[4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl] dihydrogen phosphate
"InChI=1S/C5H11O7P/c6-3-1-5(7)12-4(3)2-11-13(8,9)10/h3-7H,1-2H2,(H2,8,9,10)",KKZFLSZAWCYPOC-UHFFFAOYSA-N,P(OCC1OC(O)CC1O)(O)(O)=O,C9H10O3,214.11,-2.2310,3,138.75,0,240.60416,1,"(3,5-dihydroxytetrahydrofuran-2-yl)methyl dihydrogen phosphate"
"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)",OLXZPDWKRNYJJZ-UHFFFAOYSA-N,O1C(CO)C(O)CC1n1c2ncnc(N)c2nc1,C9H8O2,251.246,-1.3039,2,211.88,0,266.17035,1,5-(6-aminopurin-9-yl)-2-(hydroxymethyl)tetrahydrofuran-3-ol
"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)",CKTSBUTUHBMZGZ-UHFFFAOYSA-N,O1C(CO)C(O)CC1N1C=CC(=NC1=O)N,C10H11ClO3,227.22,-1.5140,2,187.25,0,220.00124,0,4-amino-1-[4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidin-2-one
"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)",YKBGVTZYEHREMT-UHFFFAOYSA-N,O1C(CO)C(O)CC1n1c2NC(=NC(=O)c2nc1)N,C10H11N3O3S,267.245,-1.2050,2,217.63,0,297.29358,1,2-amino-9-[4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-3<I>H</I>-purin-6-one
"InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)",VGONTNSXDCQUGY-UHFFFAOYSA-N,O1C(CO)C(O)CC1n1c2NC=NC(=O)c2nc1,C10H12O3,252.23,-0.8860,2,209.75,0,215.42183,0,9-[4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-3<I>H</I>-purin-6-one
"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)",MXHRCPNRJAMMIM-UHFFFAOYSA-N,O1C(CO)C(O)CC1N1C=CC(=O)NC1=O,C12H7Cl3O2,228.20399,-1.8330,2,184.63,0,222.05544,1,"1-[4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidine-2,4-dione"
"InChI=1S/C5H11O7P/c1-3(6)5(8)4(7)2-12-13(9,10)11/h4-5,7-8H,2H2,1H3,(H2,9,10,11)",AJPADPZSRRUGHI-UHFFFAOYSA-N,P(OCC(O)C(O)C(=O)C)(O)(O)=O,C13H10N2O3S,214.11,-2.7560,5,143.25,0,248.63492,1,"(2,3-dihydroxy-4-oxo-pentyl) dihydrogen phosphate"
"InChI=1S/C21H35N7O13P2S/c1-21(2,16(32)19(33)24-4-3-12(29)23-5-6-44)8-39-43(36,37)41-42(34,35)38-7-11-14(30)15(31)20(40-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-32,44H,3-8H2,1-2H3,(H,23, 29)(H,24,33)(H,34,35)(H,36,37)(H2,22,25,26)",KDTSHFARGAKYJN-UHFFFAOYSA-N,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1O)(O)=O)(O)=O)(C)C,C13H18O2,687.56097,-4.2259,18,498.25,3,571.98181,0,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] [3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butyl] hydrogen phosphate"
"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)",AUTOLBMXDDTRRT-UHFFFAOYSA-N,O=C1NC(CCCCCC(O)=O)C(N1)C,C13H9Cl3N2O,214.265,0.7790,6,192.25,0,204.23813,1,6-(5-methyl-2-oxo-imidazolidin-4-yl)hexanoic acid
"InChI=1S/C10H15N5O10P2/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(24-6)2-23-27(21,22)25-26(18,19)20/h3-6,16H,1-2H2,(H,21,22)(H2,18,19,20)(H3,11,13,14,17)",CIKGWCTVFSRMJU-UHFFFAOYSA-N,P(OCC1OC(n2c3NC(=NC(=O)c3nc2)N)CC1O)(OP(O)(O)=O)(O)=O,C14H12O3,427.203,-2.9740,6,284.25,2,455.48825,0,[5-(2-amino-6-oxo-3<I>H</I>-purin-9-yl)-3-hydroxy-tetrahydrofuran-2-yl]methyl phosphono hydrogen phosphate
"InChI=1S/C10H14N5O7P/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(22-6)2-21-23(18,19)20/h3-6,16H,1-2H2,(H2,18,19,20)(H3,11,13,14,17)",LTFMZDNNPPEQNG-UHFFFAOYSA-N,P(OCC1OC(n2c3NC(=NC(=O)c3nc2)N)CC1O)(O)(O)=O,C15H12N2O,347.224,-2.0920,4,250.25,2,383.28391,1,[5-(2-amino-6-oxo-3<I>H</I>-purin-9-yl)-3-hydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate
"InChI=1S/C10H16N5O13P3/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(26-6)2-25-30(21,22)28-31(23,24)27-29(18,19)20/h3-6,16H,1-2H2,(H,21,22)(H,23,24)(H2,18,19,20)(H3,11,13,14,17)",HAAZLUGHYHWQIW-UHFFFAOYSA-N,P(OCC1OC(n2c3NC(=NC(=O)c3nc2)N)CC1O)(OP(OP(O)(O)=O)(O)=O)(O)=O,C4H4KNO4S,507.18201,-3.8560,8,314.38,3,489.08417,1,[[5-(2-amino-6-oxo-3<I>H</I>-purin-9-yl)-3-hydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] phosphono hydrogen phosphate
"InChI=1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h3H,4H2,1-2H3,(H,9,10)(H2,6,7,8)",CBIDRCWHNCKSTO-UHFFFAOYSA-N,P(OCC=C(C)C)(OP(O)(O)=O)(O)=O,C7H6O3,246.092,-1.3590,5,160.50,0,246.2773,0,3-methylbut-2-enyl phosphono hydrogen phosphate
"InChI=1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)",UFIVEPVSAGBUSI-UHFFFAOYSA-N,O=C1NC(=O)NC(C1)C(O)=O,C7H8N4O2,158.11299,-1.6000,1,120.63,0,241.40906,1,"2,6-dioxohexahydropyrimidine-4-carboxylic acid"
"InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)",OIVLITBTBDPEFK-UHFFFAOYSA-N,O=C1NC(=O)NCC1,C8H10N4O2,114.104,-1.2260,0,92.50,0,176.87999,0,"hexahydropyrimidine-2,4-dione"
InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3,QSJXEFYPDANLFS-UHFFFAOYSA-N,O=C(C(=O)C)C,C8H14ClN5,86.089996,-0.3480,1,85.38,0,93.965988,1,"butane-2,3-dione"
"InChI=1S/C9H16N5O8P/c10-3-6(13-9(11)14-7(3)17)12-8-5(16)4(15)2(22-8)1-21-23(18,19)20/h2,4-5,8,15-16H,1,10H2,(H2,18,19,20)(H4,11,12,13,14,17)",OCLCLRXKNJCOJD-UHFFFAOYSA-N,P(OCC1OC(NC=2NC(=NC(=O)C=2N)N)C(O)C1O)(O)(O)=O,C8H8O3,353.228,-3.4470,5,244.25,2,445.35919,1,"[5-[(2,5-diamino-4-oxo-1<I>H</I>-pyrimidin-6-yl)amino]-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate"
"InChI=1S/C9H20N2O2/c1-7(10)8(11)5-3-2-4-6-9(12)13/h7-8H,2-6,10-11H2,1H3,(H,12,13)",KCEGBPIYGIWCDH-UHFFFAOYSA-N,OC(=O)CCCCCC(N)C(N)C,C8H9NO2,188.271,0.4020,7,175.50,0,190.50984,0,"7,8-diaminononanoic acid"
"InChI=1S/C19H12O6/c20-16-10-5-1-3-7-14(10)24-18(22)12(16)9-13-17(21)11-6-2-4-8-15(11)25-19(13)23/h1-8,22-23H,9H2",KSKRYQVHJQRUNC-UHFFFAOYSA-N,O1c2c(cccc2)C(=O)C(CC=2C(=O)c3c(OC=2O)cccc3)=C1O,C9H10O3,336.29898,2.6660,2,296.50,0,116.47464,1,2-hydroxy-3-[(2-hydroxy-4-oxo-chromen-3-yl)methyl]chromen-4-one
"InChI=1S/C4H11O4P/c1-3-7-9(5,6)8-4-2/h3-4H2,1-2H3,(H,5,6)",UCQFCFPECQILOL-UHFFFAOYSA-N,P(OCC)(OCC)(O)=O,C9H8O2,154.10201,-0.1660,4,118.13,0,117.45006,0,diethyl hydrogen phosphate
"InChI=1S/C4H11O3PS/c1-3-6-8(5,9)7-4-2/h3-4H2,1-2H3,(H,5,9)",PKUWKAXTAVNIJR-UHFFFAOYSA-N,S=P(OCC)(OCC)O,C10H11ClO3,170.16901,1.0340,4,125.00,0,136.27921,1,diethoxy-hydroxy-thioxo-&lambda;<sup>5</sup>-phosphane
"InChI=1S/C34H64O13/c1-2-3-4-5-9-12-15-18-23(19-16-13-10-7-6-8-11-14-17-20-26(37)38)44-34-32(30(42)28(40)25(22-36)46-34)47-33-31(43)29(41)27(39)24(21-35)45-33/h23-25,27-36,39-43H,2-22H2,1H3,(H,37,38)",OAKLJPBSRRDONB-UHFFFAOYSA-N,O1C(CO)C(O)C(O)C(O)C1OC1C(O)C(O)C(OC1OC(CCCCCCCCCCCC(O)=O)CCCCCCCCC)CO,C10H11N3O3S,680.87299,3.6987,26,591.38,3,356.98563,1,"13-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-tetrahydropyran-2-yl]oxydocosanoic acid"
"InChI=1S/C36H66O14/c1-3-4-5-6-10-13-16-19-25(20-17-14-11-8-7-9-12-15-18-21-28(39)40)47-36-34(32(44)29(41)26(22-37)48-36)50-35-33(45)31(43)30(42)27(49-35)23-46-24(2)38/h25-27,29-37,41-45H,3-23H2,1-2H3, (H,39,40)",DYDPBEMJTPLKEJ-UHFFFAOYSA-N,O1C(COC(=O)C)C(O)C(O)C(O)C1OC1C(O)C(O)C(OC1OC(CCCCCCCCCCCC(O)=O)CCCCCCCCC)CO,C10H12O3,722.90997,4.2877,28,633.75,3,349.2536,0,"13-[3-[6-(acetoxymethyl)-3,4,5-trihydroxy-tetrahydropyran-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxydocosanoic acid"
"InChI=1S/C38H68O15/c1-4-5-6-7-11-14-17-20-27(21-18-15-12-9-8-10-13-16-19-22-30(41)42)50-38-36(34(46)32(44)29(52-38)24-49-26(3)40)53-37-35(47)33(45)31(43)28(51-37)23-48-25(2)39/h27-29,31-38,43-47H,4-24 H2,1-3H3,(H,41,42)",LGIFCELMJBBHMO-UHFFFAOYSA-N,O1C(COC(=O)C)C(O)C(O)C(O)C1OC1C(O)C(O)C(OC1OC(CCCCCCCCCCCC(O)=O)CCCCCCCCC)COC(=O)C,C12H7Cl3O2,764.94696,4.8767,30,675.38,3,343.922,1,"13-[6-(acetoxymethyl)-3-[6-(acetoxymethyl)-3,4,5-trihydroxy-tetrahydropyran-2-yl]oxy-4,5-dihydroxy-tetrahydropyran-2-yl]oxydocosanoic acid"
"InChI=1S/C9H13N5O4/c10-9-13-7-5(8(18)14-9)12-3(1-11-7)6(17)4(16)2-15/h4,6,15-17H,1-2H2,(H4,10,11,13,14,18)",YQIFAMYNGGOTFB-UHFFFAOYSA-N,O=C1N=C(NC=2NCC(=NC1=2)C(O)C(O)CO)N,C13H10N2O3S,255.23399,-2.4810,3,199.63,1,318.8515,0,"2-amino-6-(1,2,3-trihydroxypropyl)-7,8-dihydro-1<I>H</I>-pteridin-4-one"
"InChI=1S/C9H8O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-4H,5-6H2",VMUXSMXIQBNMGZ-UHFFFAOYSA-N,O1c2c(CCC1=O)cccc2,C13H18O2,148.161,1.7070,0,143.00,0,66.357079,1,chroman-2-one
"InChI=1S/C19H21N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,12,21H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)",OZRNSSUDZOLUSN-UHFFFAOYSA-N,O=C1N=C(NC=2NCC(=NC1=2)CNc1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O)N,C13H9Cl3N2O,443.41998,-0.4180,10,374.38,2,462.71307,1,"2-[[4-[(2-amino-4-oxo-7,8-dihydro-1<I>H</I>-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid"
"InChI=1S/C15H12O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,14-18,20H",PADQINQHPQKXNL-UHFFFAOYSA-N,O1c2c(C(=O)C(O)C1c1ccc(O)cc1)c(O)cc(O)c2,C14H12O3,288.255,1.7190,1,245.13,0,205.2457,0,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chroman-4-one"
"InChI=1S/C8H17NOS2/c9-8(10)4-2-1-3-7(12)5-6-11/h7,11-12H,1-6H2,(H2,9,10)",VLYUGYAKYZETRF-UHFFFAOYSA-N,SC(CCCCC(=O)N)CCS,C15H12N2O,207.362,1.9400,7,177.88,0,227.51665,1,"6,8-bis(sulfanyl)octanamide"
"InChI=1S/C9H14N5O7P/c10-9-13-7-5(8(17)14-9)12-3(1-11-7)6(16)4(15)2-21-22(18,19)20/h4,6,15-16H,1-2H2,(H2,18,19,20)(H4,10,11,13,14,17)",PLSQMGZYOGSOCE-UHFFFAOYSA-N,P(OCC(O)C(O)C1=NC2=C(NC(=NC2=O)N)NC1)(O)(O)=O,C4H4KNO4S,335.21298,-3.3680,5,235.13,2,430.81332,0,"[3-(2-amino-4-oxo-7,8-dihydro-1<I>H</I>-pteridin-6-yl)-2,3-dihydroxy-propyl] dihydrogen phosphate"
"InChI=1S/C9H16N5O13P3/c10-9-13-7-5(8(17)14-9)12-3(1-11-7)6(16)4(15)2-25-29(21,22)27-30(23,24)26-28(18,19)20/h4,6,15-16H,1-2H2,(H,21,22)(H,23,24)(H2,18,19,20)(H4,10,11,13,14,17)",DGGUVLXVLHAAGT-UHFFFAOYSA-N,P(OCC(O)C(O)C1=NC2=C(NC(=NC2=O)N)NC1)(OP(OP(O)(O)=O)(O)=O)(O)=O,C7H6O3,495.17099,-5.1320,9,301.63,2,562.74994,1,"[[3-(2-amino-4-oxo-7,8-dihydro-1<I>H</I>-pteridin-6-yl)-2,3-dihydroxy-propoxy]-hydroxy-phosphoryl] phosphono hydrogen phosphate"
"InChI=1S/C7H11N5O8P2/c8-7-11-5-4(6(13)12-7)10-3(1-9-5)2-19-22(17,18)20-21(14,15)16/h1-2H2,(H,17,18)(H2,14,15,16)(H4,8,9,11,12,13)",FCQGJGLSOWZZON-UHFFFAOYSA-N,P(OCC1=Nc2c(nc(nc2O)N)NC1)(OP(O)(O)=O)(O)=O,C7H8N4O2,355.13998,-3.8010,5,227.00,2,462.59216,1,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl phosphono hydrogen phosphate"
"InChI=1S/C42H50N4O16/c1-41(17-39(59)60)23(5-9-35(51)52)29-14-27-21(11-37(55)56)19(3-7-33(47)48)25(43-27)13-26-20(4-8-34(49)50)22(12-38(57)58)28(44-26)15-31-42(2,18-40(61)62)24(6-10-36(53)54)30(46-31)1 6-32(41)45-29/h14,16,23-24,31,43-45H,3-13,15,17-18H2,1-",OZRBELAXOMTWMP-UHFFFAOYSA-N,OC(=O)CC1(C2N=C(C=C3NC(=Cc4[nH]c(Cc5[nH]c(C2)c(CC(O)=O)c5CCC(O)=O)c(CCC(O)=O)c4CC(O)=O)C(CCC(O)=O)C3(CC(O)=O)C)C1CCC(O)=O)C,C8H10N4O2,866.87396,1.0100,20,664.88,3,694.92853,0,"3-[(10<I>Z</I>,14<I>Z</I>)-8,13,18-tris(2-carboxyethyl)-3,7,12,17-tetrakis(carboxymethyl)-7,12-dimethyl-5,6,8,13,20,21,23,24-octahydroporphyrin-2-yl]propanoic acid"
"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)",GNGACRATGGDKBX-UHFFFAOYSA-N,P(OCC(=O)CO)(O)(O)=O,C8H14ClN5,170.05699,-2.4300,4,107.63,0,258.48413,1,(3-hydroxy-2-oxo-propyl) dihydrogen phosphate
"InChI=1S/C4H9O6P/c1-3(5)4(6)2-10-11(7,8)9/h4,6H,2H2,1H3,(H2,7,8,9)",OKYHYXLCTGGOLM-UHFFFAOYSA-N,P(OCC(O)C(=O)C)(O)(O)=O,C8H8O3,184.084,-2.1830,4,124.38,0,206.42798,0,(2-hydroxy-3-oxo-butyl) dihydrogen phosphate
"InChI=1S/C3H6O3/c4-1-3(6)2-5/h4-5H,1-2H2",RXKJFZQQPQGTFL-UHFFFAOYSA-N,OCC(=O)CO,C8H9NO2,90.077995,-1.5430,2,71.25,0,162.3224,1,"1,3-dihydroxypropan-2-one"
"InChI=1S/C11H8O4/c12-9-5-8(11(14)15)10(13)7-4-2-1-3-6(7)9/h1-5,12-13H,(H,14,15)",VOJUXHHACRXLTD-UHFFFAOYSA-N,Oc1c2c(cccc2)c(O)cc1C(O)=O,C9H10O3,204.181,2.2200,1,178.88,0,168.53712,1,"1,4-dihydroxynaphthalene-2-carboxylic acid"
"InChI=1S/C13H18N4O6/c1-5-6(2)17(3-7(19)10(21)8(20)4-18)11-9(14-5)12(22)16-13(23)15-11/h7-8,10,18-21H,3-4H2,1-2H3,(H,16,22,23)",SXDXRJZUAJBNFL-UHFFFAOYSA-N,O=C1NC(=O)N=C2N(CC(O)C(O)C(O)CO)C(C)=C(N=C12)C,C9H8O2,326.30899,-2.4400,5,261.13,0,284.50125,0,"6,7-dimethyl-8-(2,3,4,5-tetrahydroxypentyl)pteridine-2,4-dione"
"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)",FFDGPVCHZBVARC-UHFFFAOYSA-N,OC(=O)CN(C)C,C10H11ClO3,103.12099,-0.3280,2,96.25,0,146.49927,1,2-(dimethylamino)acetic acid
"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",ROSDSFDQCJNGOL-UHFFFAOYSA-N,N(C)C,C10H11N3O3S,45.084999,-0.1010,0,52.63,0,84.93071,0,<I>N</I>-methylmethanamine
"InChI=1S/C9H10N2/c1-6-3-8-9(4-7(6)2)11-5-10-8/h3-5H,1-2H3,(H,10,11)",LJUQGASMPRMWIW-UHFFFAOYSA-N,[nH]1c2cc(C)c(cc2nc1)C,C10H12O3,146.19299,1.7910,0,151.50,0,55.89735,1,"5,6-dimethyl-1<I>H</I>-benzimidazole"
"InChI=1S/C10H13N4O7P/c15-5-1-7(21-6(5)2-20-22(17,18)19)14-4-13-8-9(14)11-3-12-10(8)16/h3-7,15H,1-2H2,(H,11,12,16)(H2,17,18,19)",PHNGFPPXDJJADG-UHFFFAOYSA-N,P(OCC1OC(n2c3NC=NC(=O)c3nc2)CC1O)(O)(O)=O,C12H7Cl3O2,332.20898,-1.7730,4,243.00,1,340.08905,1,[3-hydroxy-5-(6-oxo-3<I>H</I>-purin-9-yl)tetrahydrofuran-2-yl]methyl dihydrogen phosphate
"InChI=1S/C5H10O4/c1-5(2,9)3(6)4(7)8/h3,6,9H,1-2H3,(H,7,8)",JTEYKUFKXGDTEU-UHFFFAOYSA-N,OC(C(O)C(O)=O)(C)C,C13H10N2O3S,134.131,-0.6030,2,101.63,0,159.61699,0,"2,3-dihydroxy-3-methyl-butanoic acid"
"InChI=1S/C10H15N4O13P3/c15-5-1-7(14-4-13-8-9(14)11-3-12-10(8)16)25-6(5)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,15H,1-2H2,(H,20,21)(H,22,23)(H,11,12,16)(H2,17,18,19)",UFJPAQSLHAGEBL-UHFFFAOYSA-N,P(OCC1OC(n2c3NC=NC(=O)c3nc2)CC1O)(OP(OP(O)(O)=O)(O)=O)(O)=O,C13H18O2,492.16699,-3.5370,8,304.63,2,475.41656,1,[hydroxy-[[3-hydroxy-5-(6-oxo-3<I>H</I>-purin-9-yl)tetrahydrofuran-2-yl]methoxy]phosphoryl] phosphono hydrogen phosphate
InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,S(=O)(C)C,C13H9Cl3N2O,78.135002,-1.1430,0,63.50,0,38.805183,0,methylsulfinylmethane
"InChI=1S/C12H25O4P/c1-4-11(2)7-5-6-8-12(3)9-10-16-17(13,14)15/h7,12H,4-6,8-10H2,1-3H3,(H2,13,14,15)",CWKHQISAQICLMY-UHFFFAOYSA-N,P(OCCC(CCCC=C(CC)C)C)(O)(O)=O,C14H12O3,264.302,2.2120,9,234.25,0,158.98875,1,"[(<I>E</I>)-3,8-dimethyldec-7-enyl] dihydrogen phosphate"
"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",VYFYYTLLBUKUHU-UHFFFAOYSA-N,Oc1cc(ccc1O)CCN,C15H12N2O,153.181,0.6690,2,141.00,0,154.9449,1,"4-(2-aminoethyl)benzene-1,2-diol"
"InChI=1S/C9H9NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6H,3,10H2,(H,13,14)",AHMIDUVKSGCHAU-UHFFFAOYSA-N,O=C1C=C(C=CC1=O)CC(N)C(O)=O,C4H4KNO4S,195.174,-3.3467,3,165.25,0,236.88245,0,"2-amino-3-(3,4-dioxocyclohexa-1,5-dien-1-yl)propanoic acid"
"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)",LJQLQCAXBUHEAZ-UHFFFAOYSA-N,P(OC(=O)C(O)COP(O)(O)=O)(O)(O)=O,C7H6O3,266.035,-3.5940,6,147.25,0,366.69763,1,phosphono 2-hydroxy-3-phosphonooxy-propanoate
"InChI=1S/C16H26N2O16P2/c1-6-3-18(16(25)17-14(6)24)10-2-7(20)9(31-10)5-30-35(26,27)34-36(28,29)33-15-13(23)12(22)11(21)8(4-19)32-15/h3,7-13,15,19-23H,2,4-5H2,1H3,(H,26,27)(H,28,29)(H,17,24,25)",YSYKRGRSMLTJNL-UHFFFAOYSA-N,P(OC1OC(CO)C(O)C(O)C1O)(OP(OCC1OC(N2C=C(C)C(=O)NC2=O)CC1O)(O)=O)(O)=O,C7H8N4O2,564.33002,-5.6430,9,383.25,3,513.76764,0,"[hydroxy-[[3-hydroxy-5-(5-methyl-2,4-dioxo-pyrimidin-1-yl)tetrahydrofuran-2-yl]methoxy]phosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl] hydrogen phosphate"
"InChI=1S/C16H24N2O15P2/c1-6-4-18(16(24)17-14(6)23)10-3-8(19)9(31-10)5-29-34(25,26)33-35(27,28)32-15-13(22)12(21)11(20)7(2)30-15/h4,7-10,12-13,15,19,21-22H,3,5H2,1-2H3,(H,25,26)(H,27,28)(H,17,23,24)",PSXWNITXWWECNY-UHFFFAOYSA-N,P(OC1OC(C)C(=O)C(O)C1O)(OP(OCC1OC(N2C=C(C)C(=O)NC2=O)CC1O)(O)=O)(O)=O,C8H10N4O2,546.315,-4.4800,8,378.13,3,370.79474,1,"(3,4-dihydroxy-6-methyl-5-oxo-tetrahydropyran-2-yl) [hydroxy-[[3-hydroxy-5-(5-methyl-2,4-dioxo-pyrimidin-1-yl)tetrahydrofuran-2-yl]methoxy]phosphoryl] hydrogen phosphate"
"InChI=1S/C16H26N2O15P2/c1-6-4-18(16(24)17-14(6)23)10-3-8(19)9(31-10)5-29-34(25,26)33-35(27,28)32-15-13(22)12(21)11(20)7(2)30-15/h4,7-13,15,19-22H,3,5H2,1-2H3,(H,25,26)(H,27,28)(H,17,23,24)",ZOSQFDVXNQFKBY-UHFFFAOYSA-N,P(OC1OC(C)C(O)C(O)C1O)(OP(OCC1OC(N2C=C(C)C(=O)NC2=O)CC1O)(O)=O)(O)=O,C8H14ClN5,548.33099,-4.6080,8,378.13,3,378.62015,1,"[hydroxy-[[3-hydroxy-5-(5-methyl-2,4-dioxo-pyrimidin-1-yl)tetrahydrofuran-2-yl]methoxy]phosphoryl] (3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl) hydrogen phosphate"
"InChI=1S/C9H14N2O11P2/c12-5-3-8(11-2-1-7(13)10-9(11)14)21-6(5)4-20-24(18,19)22-23(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,18,19)(H,10,13,14)(H2,15,16,17)",QHWZTVCCBMIIKE-UHFFFAOYSA-N,P(OCC1OC(N2C=CC(=O)NC2=O)CC1O)(OP(O)(O)=O)(O)=O,C8H8O3,388.16199,-3.6020,6,252.75,1,380.72403,0,"[5-(2,4-dioxopyrimidin-1-yl)-3-hydroxy-tetrahydrofuran-2-yl]methyl phosphono hydrogen phosphate"
"InChI=1S/C9H13N2O8P/c12-5-3-8(11-2-1-7(13)10-9(11)14)19-6(5)4-18-20(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,10,13,14)(H2,15,16,17)",JSRLJPSBLDHEIO-UHFFFAOYSA-N,P(OCC1OC(N2C=CC(=O)NC2=O)CC1O)(O)(O)=O,C8H9NO2,308.18298,-2.7200,4,221.00,0,302.77826,1,"[5-(2,4-dioxopyrimidin-1-yl)-3-hydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate"
"InChI=1S/C9H15N2O14P3/c12-5-3-8(11-2-1-7(13)10-9(11)14)23-6(5)4-22-27(18,19)25-28(20,21)24-26(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,18,19)(H,20,21)(H,10,13,14)(H2,15,16,17)",AHCYMLUZIRLXAA-UHFFFAOYSA-N,P(OCC1OC(N2C=CC(=O)NC2=O)CC1O)(OP(OP(O)(O)=O)(O)=O)(O)=O,C9H10O3,468.14099,-4.4840,8,285.50,2,445.35812,0,"[[5-(2,4-dioxopyrimidin-1-yl)-3-hydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] phosphono hydrogen phosphate"
